[2025-02-15T08:13:05.398+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-15T08:13:05.828+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2025-02-14T00:00:00+00:00 [queued]>
[2025-02-15T08:13:06.160+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2025-02-14T00:00:00+00:00 [queued]>
[2025-02-15T08:13:06.160+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-02-15T08:13:06.688+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): get_data> on 2025-02-14 00:00:00+00:00
[2025-02-15T08:13:07.254+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'play_with_***_connections_and_hooks', 'get_data', 'scheduled__2025-02-14T00:00:00+00:00', '--job-id', '15', '--raw', '--subdir', 'DAGS_FOLDER/play_with_***_connections_and_hooks.py', '--cfg-path', '/tmp/tmpbh8t2nxh']
[2025-02-15T08:13:07.287+0000] {standard_task_runner.py:105} INFO - Job 15: Subtask get_data
[2025-02-15T08:13:07.294+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=195) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-02-15T08:13:07.531+0000] {standard_task_runner.py:72} INFO - Started process 297 to run task
[2025-02-15T08:13:10.223+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'ab_register_user', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.233+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_prepared_statements', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.241+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_largeobject', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.242+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'connection', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.244+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_user_mapping', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.248+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_stat_progress_vacuum', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.257+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_replication_origin_status', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.263+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_subscription', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.266+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_attribute', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.270+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_proc', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.272+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_class', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.273+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_attrdef', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.287+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_constraint', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.290+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_inherits', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.298+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_index', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.303+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_operator', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.306+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_opfamily', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.312+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_opclass', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.314+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_am', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.322+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_amop', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.326+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_amproc', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.332+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_language', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.334+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_largeobject_metadata', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.338+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_aggregate', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.346+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_statistic_ext', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.350+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_rewrite', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.354+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_trigger', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.356+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_event_trigger', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.359+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_description', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.362+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_cast', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.363+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_stat_progress_cluster', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.366+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_stat_progress_create_index', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.371+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_stat_progress_basebackup', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.375+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_user_mappings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.384+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_enum', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.388+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_namespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.395+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_conversion', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.400+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_depend', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.404+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_database', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.409+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_db_role_setting', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.412+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_tablespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.427+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_auth_members', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.435+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_shdepend', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.436+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_shdescription', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.442+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_ts_config', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.448+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_ts_config_map', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.450+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_ts_dict', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.454+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_ts_parser', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.459+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_ts_template', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.466+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_extension', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.473+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_foreign_data_wrapper', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.473+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_foreign_server', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.473+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_policy', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.473+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_replication_origin', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.474+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_default_acl', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.474+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_init_privs', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.474+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_seclabel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.522+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_shseclabel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.523+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_collation', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.523+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_partitioned_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.523+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_range', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
