[2025-02-15T08:13:05.851+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-15T08:13:05.877+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2025-02-01T00:00:00+00:00 [queued]>
[2025-02-15T08:13:05.897+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2025-02-01T00:00:00+00:00 [queued]>
[2025-02-15T08:13:05.899+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-02-15T08:13:05.946+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): get_data> on 2025-02-01 00:00:00+00:00
[2025-02-15T08:13:06.329+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'play_with_***_connections_and_hooks', 'get_data', 'scheduled__2025-02-01T00:00:00+00:00', '--job-id', '20', '--raw', '--subdir', 'DAGS_FOLDER/play_with_***_connections_and_hooks.py', '--cfg-path', '/tmp/tmp0l8xzpj4']
[2025-02-15T08:13:06.385+0000] {standard_task_runner.py:105} INFO - Job 20: Subtask get_data
[2025-02-15T08:13:06.443+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=193) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-02-15T08:13:06.492+0000] {standard_task_runner.py:72} INFO - Started process 292 to run task
[2025-02-15T08:13:10.231+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'ab_register_user', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.240+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_prepared_statements', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.241+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_largeobject', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.244+0000] {logging_mixin.py:190} INFO - ('***', 'public', 'connection', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.247+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_user_mapping', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.254+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_stat_progress_vacuum', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.263+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_replication_origin_status', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.265+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_subscription', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.271+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_attribute', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.272+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_proc', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.273+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_class', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.287+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_attrdef', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.291+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_constraint', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.299+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_inherits', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.305+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_index', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.310+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_operator', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.314+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_opfamily', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.319+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_opclass', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.323+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_am', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.329+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_amop', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.334+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_amproc', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.337+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_language', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.345+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_largeobject_metadata', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.351+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_aggregate', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.354+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_statistic_ext', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.357+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_rewrite', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.360+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_trigger', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.362+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_event_trigger', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.365+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_description', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.368+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_cast', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.371+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_stat_progress_cluster', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.383+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_stat_progress_create_index', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.385+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_stat_progress_basebackup', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.391+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_user_mappings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.399+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_enum', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.403+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_namespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.409+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_conversion', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.418+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_depend', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.427+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_database', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.434+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_db_role_setting', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.435+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_tablespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.446+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_auth_members', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.449+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_shdepend', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.452+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_shdescription', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.458+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_ts_config', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.460+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_ts_config_map', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.478+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_ts_dict', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.479+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_ts_parser', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.479+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_ts_template', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.479+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_extension', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.480+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_foreign_data_wrapper', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.480+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_foreign_server', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.480+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_policy', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.480+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_replication_origin', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.538+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_default_acl', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.541+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_init_privs', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.541+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_seclabel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.541+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_shseclabel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.542+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_collation', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
